parameterWaterBodyCategory,observedPropertyDeterminandCode,procedureAnalysedFraction,procedureAnalysedMedia,resultUom,phenomenonTimeReferenceYear,parameterSamplingPeriod,resultMeanValueNH3,resultMeanValueNO3,waterBodyIdentifier,Country,PopulationDensity,TerraMarineProtected_2016_2018,TouristMean_1990_2020,VenueCount,netMigration_2011_2018,droughts_floods_temperature,literacyRate_2010_2018,combustibleRenewables_2009_2014,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_recycling_percent
RW,EEA_31613-01-1,total,water,mg{NH3}/L,2008,2008-01--2008-12,0.004985149,,BERW06_VE18R,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,EEA_31613-01-1,total,water,mg{NH3}/L,2008,2008-01--2008-12,0.001459068,,BERW06_AM17R,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,EEA_31613-01-1,total,water,mg{NH3}/L,2008,2008-01--2008-12,0.00121589,,BERW06_ML06R,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,EEA_31613-01-1,total,water,mg{NH3}/L,2008,2008-01--2008-12,0.006322628,,BERW06_ML07R,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,EEA_31613-01-1,total,water,mg{NH3}/L,2009,2009-01--2009-12,0.003282903,,BERW06_ML07R,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,EEA_31613-01-1,total,water,mg{NH3}/L,2009,2009-01--2009-12,0.00121589,,BERW06_OU11R,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,EEA_31613-01-1,total,water,mg{NH3}/L,2008,2008-01--2008-12,0.00121589,,BERW06_OU06R,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,EEA_31613-01-1,total,water,mg{NH3}/L,2008,2008-01--2008-12,0.00121589,,BERW06_OU11R,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,EEA_31613-01-1,total,water,mg{NH3}/L,2008,2008-01--2008-12,0.00121589,,BERW06_SC09R,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,EEA_31613-01-1,total,water,mg{NH3}/L,2010,2010-01--2010-12,0.026506402,,BERW06_EL18R,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2008,2008-01--2008-12,,14.055725,BERW06_MV35R,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2009,2009-01--2009-12,,9.4184425,BEVL08_172,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2009,2009-01--2009-12,,15.4542143,BEVL05_136,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2009,2009-01--2009-12,,6.0725159,BEVL08_16,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2009,2009-01--2009-12,,19.1060466,BEVL08_164,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2015,2015-01-01--2015-12-31,,23.131,BERW06_EL18R,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2008,2008-01--2008-12,,11.7634244,BERW06_AM17R,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2008,2008-01--2008-12,,25.8249045,BERW06_MV31R,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2008,2008-01--2008-12,,17.8346122,BERW06_ML06R,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2008,2008-01--2008-12,,12.5744508,BERW06_VE18R,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2008,2008-01--2008-12,,32.1581707,BERW06_ML07R,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2009,2009-01--2009-12,,23.8318691,BEVL05_58,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2009,2009-01--2009-12,,19.0361,BEVL05_106,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2009,2009-01--2009-12,,8.0620097,BEVL05_93,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2008,2008-01--2008-12,,18.8085522,BERW06_OU06R,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2008,2008-01--2008-12,,2.9519236,BERW06_SC09R,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
RW,CAS_14797-55-8,total,water,mg{NO3}/L,2008,2008-01--2008-12,,13.1287112,BERW06_DE09R,Belgium,377.3795905,24.62550277,6496961,0,62334,0.001692168,0,3.106284674,5.15E+11,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,34.303
